question,answer
hey best time to visit temples right now.,early morning at sunrise is the best time
any idea where where is banteay srei thank you.,it is a pink sandstone temple 35km from siem reap
can you explain what is angkor thom right now.,it was the last capital city of the khmer empire
search for where is koh ker immediately.,it is a pyramid temple north of siem reap
search for is beng mealea far if you can.,it is about 60km east of siem reap city
what about can i visit preah khan if you can.,yes preah khan is a large monastic complex in angkor
search for what is the terrace of elephants if you can.,it is part of the ancient royal city of angkor thom
give me details on how do i get to angkor wat?,"you can take a tuk tuk, car, or bicycle from siem reap city"
is angkor wat open today today.,angkor wat is open daily from 5 am to 5:30 pm
tell me where is phnom penh?,phnom penh is the capital city of cambodia
search for what to see in phnom penh for me.,visit the royal palace and the national museum
please tell me where is the royal palace right now.,it is located along the riverside in phnom penh
do you know what is the silver pagoda?,it is a temple in the royal palace with a silver floor
find where are the killing fields for me.,choeung ek is about 15 kilometers from phnom penh
give me details on what is s21 prison immediately.,tuol sleng is a former prison museum in phnom penh
any idea where where is wat phnom please.,it is a hilltop temple that gives the capital its name
do you know best place for shopping in phnom penh today.,central market and russian market are the best
find where is the riverside specifically.,it is the sisowath quay area along the tonle sap river
teach me about how to get around phnom penh for me.,passapp or grab for tuk tuks is the easiest way
please tell me is phnom penh safe at night,it is generally safe but watch your belongings
search for where is the independence monument thank you.,it is at the intersection of norodom and sihanouk boulevards
tell me something about where are the best beaches immediately.,koh rong and koh rong samloem have the best beaches
hey how to get to koh rong immediately.,you can take a speed ferry from sihanoukville
search for what to do in kampot thanks.,visit pepper farms and take a river cruise
give me info on where is bokor mountain immediately.,it is a cool hill station near kampot city
can you explain is kep famous for food if you can.,yes kep is famous for fresh blue crab with pepper
could you explain what is rabbit island please.,koh tonsay is a quiet island near kep
i am curious about where is otres beach?,it is a quieter beach area in sihanoukville
is sihanoukville good for islands immediately.,yes it is the main gateway to koh rong and koh rong samloem
any idea where what is kampot pepper specifically.,it is world famous high quality pepper from cambodia
can i swim in sihanoukville immediately.,"yes, victory beach and sokha beach are popular spots"
any idea where where can i see dolphins right now.,you can see freshwater dolphins in kratie
search for what to do in mondulkiri,visit elephant sanctuaries and busra waterfall
can you tell me is mondulkiri cold specifically.,it is much cooler than the rest of cambodia
i want to know where is yeak laom lake if you can.,it is a volcanic lake in rattanakiri province
can you explain what to see in kratie today.,the irrawaddy dolphins and kampi rapids
please tell me where is preah vihear temple today.,it is on a cliff in the north near the thai border
can you tell me is sambor prei kuk old today.,yes it is a pre-angkorian site in kampong thom
looking for what is battambang known for if you can.,it is famous for the bamboo train and caves
tell me where is the killing caves thanks.,they are located on phnom sampeau in battambang
any idea where can i see bats in battambang today.,yes millions of bats fly out of caves at sunset
teach me about what is phnom chi immediately.,it is a mountain for hiking in kampong thom
do you know where is kapi falls right now.,it is a scenic spot in mondulkiri
looking for best time to visit cambodia?,november to february is the best time
can you explain what currency is used,the currency is riel and us dollar
do you know do people speak english specifically.,many people speak basic english in tourist areas
can you tell me what food should i try right now.,you should try amok and lok lak
can you tell me is cambodia safe for me.,it is generally safe for tourists
looking for how to travel in cambodia please.,you can use tuk tuk or taxi
any idea where do i need a visa?,most tourists need a visa or an e-visa
teach me about what is the water festival immediately.,bon om touk is a festival with boat racing
give me info on when is khmer new year,it is usually celebrated in mid-april
could you explain is the water safe to drink,it is better to drink bottled or filtered water
could you explain how to say hello in khmer right now.,you say sarsday or chum reap suor
teach me about how to say thank you immediately.,you say orkun in khmer
could you explain is there grab in cambodia?,yes grab and passapp are widely used
could you explain what is the local beer thanks.,angkor beer and cambodia beer are popular
tell me can i wear shorts in temples thanks.,you should cover your knees and shoulders
looking for is cambodia expensive please.,it is very affordable for most travelers
looking for what is the rainy season,it runs from may to october
info on internet in cambodia please.,wifi is common and local sim cards are cheap
what is the time zone specifically.,cambodia is gmt plus seven
give me details on where is angkor wat please.,angkor wat is in siem reap cambodia
hey what is angkor wat please.,it is a famous temple in cambodia
teach me about what to do in siem reap thanks.,you can visit temples and night market
i am curious about where is bayon temple specifically.,bayon temple is in the center of angkor thom
teach me about what is ta prohm for me.,it is the jungle temple with giant trees in siem reap
any idea where how much is angkor pass today.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
i am curious about where to watch sunset in siem reap?,phnom bakheng is the most popular spot for sunset
info on what is pub street immediately.,it is the nightlife hub of siem reap with bars and food
can you explain is tonle sap near siem reap?,yes it is the largest freshwater lake near siem reap
tell me best time to visit temples right now.,early morning at sunrise is the best time
do you know where is banteay srei if you can.,it is a pink sandstone temple 35km from siem reap
can you tell me what is angkor thom thank you.,it was the last capital city of the khmer empire
looking for where is koh ker?,it is a pyramid temple north of siem reap
info on is beng mealea far,it is about 60km east of siem reap city
tell me something about can i visit preah khan today.,yes preah khan is a large monastic complex in angkor
any idea where what is the terrace of elephants please.,it is part of the ancient royal city of angkor thom
give me info on how do i get to angkor wat specifically.,"you can take a tuk tuk, car, or bicycle from siem reap city"
briefly explain is angkor wat open today specifically.,angkor wat is open daily from 5 am to 5:30 pm
can you explain where is phnom penh immediately.,phnom penh is the capital city of cambodia
what about what to see in phnom penh today.,visit the royal palace and the national museum
i am curious about where is the royal palace specifically.,it is located along the riverside in phnom penh
i want to know what is the silver pagoda?,it is a temple in the royal palace with a silver floor
can you tell me where are the killing fields,choeung ek is about 15 kilometers from phnom penh
please tell me what is s21 prison if you can.,tuol sleng is a former prison museum in phnom penh
teach me about where is wat phnom immediately.,it is a hilltop temple that gives the capital its name
give me details on best place for shopping in phnom penh for me.,central market and russian market are the best
could you explain where is the riverside for me.,it is the sisowath quay area along the tonle sap river
hey how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
give me details on is phnom penh safe at night for me.,it is generally safe but watch your belongings
give me details on where is the independence monument please.,it is at the intersection of norodom and sihanouk boulevards
where are the best beaches,koh rong and koh rong samloem have the best beaches
please tell me how to get to koh rong,you can take a speed ferry from sihanoukville
teach me about what to do in kampot right now.,visit pepper farms and take a river cruise
can you tell me where is bokor mountain immediately.,it is a cool hill station near kampot city
any idea where is kep famous for food right now.,yes kep is famous for fresh blue crab with pepper
i want to know what is rabbit island specifically.,koh tonsay is a quiet island near kep
tell me something about where is otres beach specifically.,it is a quieter beach area in sihanoukville
briefly explain is sihanoukville good for islands thanks.,yes it is the main gateway to koh rong and koh rong samloem
hey what is kampot pepper please.,it is world famous high quality pepper from cambodia
give me details on can i swim in sihanoukville if you can.,"yes, victory beach and sokha beach are popular spots"
could you explain where can i see dolphins for me.,you can see freshwater dolphins in kratie
find what to do in mondulkiri immediately.,visit elephant sanctuaries and busra waterfall
briefly explain is mondulkiri cold specifically.,it is much cooler than the rest of cambodia
hi where is yeak laom lake specifically.,it is a volcanic lake in rattanakiri province
i want to know what to see in kratie specifically.,the irrawaddy dolphins and kampi rapids
i am curious about where is preah vihear temple thanks.,it is on a cliff in the north near the thai border
i am curious about is sambor prei kuk old if you can.,yes it is a pre-angkorian site in kampong thom
can you explain what is battambang known for thank you.,it is famous for the bamboo train and caves
info on where is the killing caves today.,they are located on phnom sampeau in battambang
find can i see bats in battambang thanks.,yes millions of bats fly out of caves at sunset
looking for what is phnom chi?,it is a mountain for hiking in kampong thom
find where is kapi falls thank you.,it is a scenic spot in mondulkiri
briefly explain best time to visit cambodia if you can.,november to february is the best time
tell me what currency is used today.,the currency is riel and us dollar
find do people speak english specifically.,many people speak basic english in tourist areas
what food should i try?,you should try amok and lok lak
what about is cambodia safe thank you.,it is generally safe for tourists
looking for how to travel in cambodia thank you.,you can use tuk tuk or taxi
looking for do i need a visa right now.,most tourists need a visa or an e-visa
could you explain what is the water festival for me.,bon om touk is a festival with boat racing
search for when is khmer new year thank you.,it is usually celebrated in mid-april
hey is the water safe to drink,it is better to drink bottled or filtered water
please tell me how to say hello in khmer thanks.,you say sarsday or chum reap suor
do you know how to say thank you thanks.,you say orkun in khmer
give me info on is there grab in cambodia thanks.,yes grab and passapp are widely used
please tell me what is the local beer thanks.,angkor beer and cambodia beer are popular
info on can i wear shorts in temples immediately.,you should cover your knees and shoulders
i am curious about is cambodia expensive?,it is very affordable for most travelers
what about what is the rainy season if you can.,it runs from may to october
i want to know internet in cambodia please.,wifi is common and local sim cards are cheap
looking for what is the time zone today.,cambodia is gmt plus seven
tell me where is angkor wat immediately.,angkor wat is in siem reap cambodia
search for what is angkor wat thanks.,it is a famous temple in cambodia
search for what to do in siem reap immediately.,you can visit temples and night market
i am curious about where is bayon temple,bayon temple is in the center of angkor thom
i want to know what is ta prohm,it is the jungle temple with giant trees in siem reap
hey how much is angkor pass for me.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
could you explain where to watch sunset in siem reap?,phnom bakheng is the most popular spot for sunset
i am curious about what is pub street if you can.,it is the nightlife hub of siem reap with bars and food
any idea where is tonle sap near siem reap today.,yes it is the largest freshwater lake near siem reap
tell me best time to visit temples?,early morning at sunrise is the best time
where is banteay srei thanks.,it is a pink sandstone temple 35km from siem reap
tell me something about what is angkor thom right now.,it was the last capital city of the khmer empire
briefly explain where is koh ker right now.,it is a pyramid temple north of siem reap
tell me is beng mealea far if you can.,it is about 60km east of siem reap city
hi can i visit preah khan,yes preah khan is a large monastic complex in angkor
can you tell me what is the terrace of elephants thanks.,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat right now.,"you can take a tuk tuk, car, or bicycle from siem reap city"
looking for is angkor wat open today if you can.,angkor wat is open daily from 5 am to 5:30 pm
give me info on where is phnom penh please.,phnom penh is the capital city of cambodia
find what to see in phnom penh thank you.,visit the royal palace and the national museum
can you tell me where is the royal palace?,it is located along the riverside in phnom penh
find what is the silver pagoda if you can.,it is a temple in the royal palace with a silver floor
find where are the killing fields today.,choeung ek is about 15 kilometers from phnom penh
please tell me what is s21 prison immediately.,tuol sleng is a former prison museum in phnom penh
briefly explain where is wat phnom,it is a hilltop temple that gives the capital its name
best place for shopping in phnom penh thanks.,central market and russian market are the best
tell me something about where is the riverside right now.,it is the sisowath quay area along the tonle sap river
can you explain how to get around phnom penh if you can.,passapp or grab for tuk tuks is the easiest way
can you tell me is phnom penh safe at night for me.,it is generally safe but watch your belongings
do you know where is the independence monument please.,it is at the intersection of norodom and sihanouk boulevards
hey where are the best beaches right now.,koh rong and koh rong samloem have the best beaches
briefly explain how to get to koh rong?,you can take a speed ferry from sihanoukville
what about what to do in kampot for me.,visit pepper farms and take a river cruise
tell me something about where is bokor mountain please.,it is a cool hill station near kampot city
find is kep famous for food for me.,yes kep is famous for fresh blue crab with pepper
i want to know what is rabbit island if you can.,koh tonsay is a quiet island near kep
tell me where is otres beach thank you.,it is a quieter beach area in sihanoukville
briefly explain is sihanoukville good for islands,yes it is the main gateway to koh rong and koh rong samloem
could you explain what is kampot pepper immediately.,it is world famous high quality pepper from cambodia
give me info on can i swim in sihanoukville if you can.,"yes, victory beach and sokha beach are popular spots"
can you tell me where can i see dolphins?,you can see freshwater dolphins in kratie
looking for what to do in mondulkiri?,visit elephant sanctuaries and busra waterfall
could you explain is mondulkiri cold today.,it is much cooler than the rest of cambodia
where is yeak laom lake specifically.,it is a volcanic lake in rattanakiri province
info on what to see in kratie right now.,the irrawaddy dolphins and kampi rapids
find where is preah vihear temple right now.,it is on a cliff in the north near the thai border
info on is sambor prei kuk old immediately.,yes it is a pre-angkorian site in kampong thom
any idea where what is battambang known for thank you.,it is famous for the bamboo train and caves
i am curious about where is the killing caves for me.,they are located on phnom sampeau in battambang
what about can i see bats in battambang?,yes millions of bats fly out of caves at sunset
give me details on what is phnom chi right now.,it is a mountain for hiking in kampong thom
do you know best time to visit cambodia thanks.,november to february is the best time
can you explain what currency is used right now.,the currency is riel and us dollar
can you tell me do people speak english specifically.,many people speak basic english in tourist areas
find what food should i try please.,you should try amok and lok lak
hi is cambodia safe thanks.,it is generally safe for tourists
how to travel in cambodia,you can use tuk tuk or taxi
give me info on do i need a visa for me.,most tourists need a visa or an e-visa
looking for what is the water festival today.,bon om touk is a festival with boat racing
teach me about when is khmer new year thanks.,it is usually celebrated in mid-april
what about is the water safe to drink right now.,it is better to drink bottled or filtered water
search for how to say hello in khmer please.,you say sarsday or chum reap suor
teach me about how to say thank you?,you say orkun in khmer
do you know is there grab in cambodia for me.,yes grab and passapp are widely used
briefly explain what is the local beer please.,angkor beer and cambodia beer are popular
please tell me can i wear shorts in temples specifically.,you should cover your knees and shoulders
teach me about is cambodia expensive thanks.,it is very affordable for most travelers
briefly explain what is the rainy season please.,it runs from may to october
give me info on internet in cambodia thank you.,wifi is common and local sim cards are cheap
teach me about what is the time zone today.,cambodia is gmt plus seven
where is angkor wat thanks.,angkor wat is in siem reap cambodia
i want to know what is angkor wat immediately.,it is a famous temple in cambodia
find what to do in siem reap right now.,you can visit temples and night market
hey where is bayon temple if you can.,bayon temple is in the center of angkor thom
info on what is ta prohm thanks.,it is the jungle temple with giant trees in siem reap
teach me about how much is angkor pass please.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
info on where to watch sunset in siem reap if you can.,phnom bakheng is the most popular spot for sunset
find is tonle sap near siem reap immediately.,yes it is the largest freshwater lake near siem reap
please tell me best time to visit temples today.,early morning at sunrise is the best time
please tell me where is banteay srei?,it is a pink sandstone temple 35km from siem reap
briefly explain what is angkor thom thank you.,it was the last capital city of the khmer empire
tell me where is koh ker immediately.,it is a pyramid temple north of siem reap
could you explain is beng mealea far?,it is about 60km east of siem reap city
briefly explain can i visit preah khan?,yes preah khan is a large monastic complex in angkor
please tell me what is the terrace of elephants specifically.,it is part of the ancient royal city of angkor thom
hi how do i get to angkor wat please.,"you can take a tuk tuk, car, or bicycle from siem reap city"
any idea where is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
any idea where where is phnom penh if you can.,phnom penh is the capital city of cambodia
looking for what to see in phnom penh?,visit the royal palace and the national museum
can you explain where is the royal palace right now.,it is located along the riverside in phnom penh
do you know what is the silver pagoda immediately.,it is a temple in the royal palace with a silver floor
please tell me where are the killing fields specifically.,choeung ek is about 15 kilometers from phnom penh
what about what is s21 prison immediately.,tuol sleng is a former prison museum in phnom penh
briefly explain where is wat phnom please.,it is a hilltop temple that gives the capital its name
do you know where is the riverside for me.,it is the sisowath quay area along the tonle sap river
info on how to get around phnom penh thank you.,passapp or grab for tuk tuks is the easiest way
can you tell me is phnom penh safe at night specifically.,it is generally safe but watch your belongings
what about where are the best beaches thank you.,koh rong and koh rong samloem have the best beaches
any idea where how to get to koh rong specifically.,you can take a speed ferry from sihanoukville
give me info on what to do in kampot thank you.,visit pepper farms and take a river cruise
looking for where is bokor mountain for me.,it is a cool hill station near kampot city
info on is kep famous for food today.,yes kep is famous for fresh blue crab with pepper
can you explain what is rabbit island today.,koh tonsay is a quiet island near kep
info on where is otres beach please.,it is a quieter beach area in sihanoukville
find is sihanoukville good for islands please.,yes it is the main gateway to koh rong and koh rong samloem
i want to know what is kampot pepper for me.,it is world famous high quality pepper from cambodia
hi can i swim in sihanoukville thanks.,"yes, victory beach and sokha beach are popular spots"
i want to know where can i see dolphins?,you can see freshwater dolphins in kratie
any idea where what to do in mondulkiri right now.,visit elephant sanctuaries and busra waterfall
tell me something about is mondulkiri cold thank you.,it is much cooler than the rest of cambodia
teach me about where is yeak laom lake today.,it is a volcanic lake in rattanakiri province
teach me about what to see in kratie if you can.,the irrawaddy dolphins and kampi rapids
can you tell me where is preah vihear temple thank you.,it is on a cliff in the north near the thai border
can you explain is sambor prei kuk old specifically.,yes it is a pre-angkorian site in kampong thom
can you tell me what is battambang known for specifically.,it is famous for the bamboo train and caves
tell me something about where is the killing caves?,they are located on phnom sampeau in battambang
do you know can i see bats in battambang for me.,yes millions of bats fly out of caves at sunset
can you explain what is phnom chi thanks.,it is a mountain for hiking in kampong thom
i am curious about where is kapi falls,it is a scenic spot in mondulkiri
best time to visit cambodia,november to february is the best time
give me details on what currency is used thank you.,the currency is riel and us dollar
search for do people speak english,many people speak basic english in tourist areas
what food should i try please.,you should try amok and lok lak
teach me about is cambodia safe immediately.,it is generally safe for tourists
give me details on how to travel in cambodia,you can use tuk tuk or taxi
do you know do i need a visa,most tourists need a visa or an e-visa
hi what is the water festival immediately.,bon om touk is a festival with boat racing
give me info on when is khmer new year thank you.,it is usually celebrated in mid-april
give me details on is the water safe to drink thanks.,it is better to drink bottled or filtered water
can you explain how to say hello in khmer thanks.,you say sarsday or chum reap suor
can you tell me how to say thank you right now.,you say orkun in khmer
can you tell me is there grab in cambodia,yes grab and passapp are widely used
any idea where what is the local beer,angkor beer and cambodia beer are popular
can i wear shorts in temples today.,you should cover your knees and shoulders
tell me is cambodia expensive for me.,it is very affordable for most travelers
please tell me what is the rainy season?,it runs from may to october
teach me about internet in cambodia specifically.,wifi is common and local sim cards are cheap
what about what is the time zone?,cambodia is gmt plus seven
search for where is angkor wat immediately.,angkor wat is in siem reap cambodia
tell me what is angkor wat specifically.,it is a famous temple in cambodia
tell me something about what to do in siem reap if you can.,you can visit temples and night market
looking for where is bayon temple thanks.,bayon temple is in the center of angkor thom
search for what is ta prohm specifically.,it is the jungle temple with giant trees in siem reap
how much is angkor pass thank you.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
i want to know where to watch sunset in siem reap thanks.,phnom bakheng is the most popular spot for sunset
can you explain what is pub street right now.,it is the nightlife hub of siem reap with bars and food
briefly explain is tonle sap near siem reap today.,yes it is the largest freshwater lake near siem reap
briefly explain best time to visit temples right now.,early morning at sunrise is the best time
teach me about where is banteay srei today.,it is a pink sandstone temple 35km from siem reap
what is angkor thom please.,it was the last capital city of the khmer empire
tell me something about where is koh ker?,it is a pyramid temple north of siem reap
please tell me is beng mealea far thank you.,it is about 60km east of siem reap city
info on can i visit preah khan,yes preah khan is a large monastic complex in angkor
i am curious about what is the terrace of elephants immediately.,it is part of the ancient royal city of angkor thom
do you know how do i get to angkor wat for me.,"you can take a tuk tuk, car, or bicycle from siem reap city"
hey where is phnom penh for me.,phnom penh is the capital city of cambodia
teach me about what to see in phnom penh if you can.,visit the royal palace and the national museum
give me details on where is the royal palace thank you.,it is located along the riverside in phnom penh
looking for what is the silver pagoda if you can.,it is a temple in the royal palace with a silver floor
where are the killing fields for me.,choeung ek is about 15 kilometers from phnom penh
i want to know where is wat phnom?,it is a hilltop temple that gives the capital its name
find best place for shopping in phnom penh thank you.,central market and russian market are the best
looking for where is the riverside,it is the sisowath quay area along the tonle sap river
can you tell me how to get around phnom penh?,passapp or grab for tuk tuks is the easiest way
tell me is phnom penh safe at night thanks.,it is generally safe but watch your belongings
where is the independence monument thanks.,it is at the intersection of norodom and sihanouk boulevards
i want to know where are the best beaches thanks.,koh rong and koh rong samloem have the best beaches
do you know how to get to koh rong for me.,you can take a speed ferry from sihanoukville
give me details on what to do in kampot for me.,visit pepper farms and take a river cruise
do you know where is bokor mountain right now.,it is a cool hill station near kampot city
briefly explain is kep famous for food,yes kep is famous for fresh blue crab with pepper
hey what is rabbit island if you can.,koh tonsay is a quiet island near kep
hi where is otres beach?,it is a quieter beach area in sihanoukville
tell me something about is sihanoukville good for islands if you can.,yes it is the main gateway to koh rong and koh rong samloem
find what is kampot pepper for me.,it is world famous high quality pepper from cambodia
could you explain can i swim in sihanoukville right now.,"yes, victory beach and sokha beach are popular spots"
give me info on where can i see dolphins,you can see freshwater dolphins in kratie
hi what to do in mondulkiri thanks.,visit elephant sanctuaries and busra waterfall
i am curious about is mondulkiri cold thank you.,it is much cooler than the rest of cambodia
i want to know where is yeak laom lake immediately.,it is a volcanic lake in rattanakiri province
can you tell me what to see in kratie today.,the irrawaddy dolphins and kampi rapids
any idea where where is preah vihear temple immediately.,it is on a cliff in the north near the thai border
any idea where is sambor prei kuk old for me.,yes it is a pre-angkorian site in kampong thom
what about what is battambang known for?,it is famous for the bamboo train and caves
i am curious about where is the killing caves please.,they are located on phnom sampeau in battambang
do you know can i see bats in battambang if you can.,yes millions of bats fly out of caves at sunset
search for what is phnom chi,it is a mountain for hiking in kampong thom
teach me about where is kapi falls right now.,it is a scenic spot in mondulkiri
please tell me best time to visit cambodia thank you.,november to february is the best time
tell me what currency is used if you can.,the currency is riel and us dollar
do people speak english,many people speak basic english in tourist areas
give me info on what food should i try thanks.,you should try amok and lok lak
is cambodia safe immediately.,it is generally safe for tourists
i want to know how to travel in cambodia thanks.,you can use tuk tuk or taxi
tell me do i need a visa for me.,most tourists need a visa or an e-visa
i am curious about what is the water festival thanks.,bon om touk is a festival with boat racing
looking for when is khmer new year,it is usually celebrated in mid-april
looking for how to say hello in khmer please.,you say sarsday or chum reap suor
search for is there grab in cambodia,yes grab and passapp are widely used
briefly explain what is the local beer today.,angkor beer and cambodia beer are popular
can you tell me can i wear shorts in temples please.,you should cover your knees and shoulders
please tell me is cambodia expensive,it is very affordable for most travelers
could you explain what is the rainy season immediately.,it runs from may to october
do you know internet in cambodia?,wifi is common and local sim cards are cheap
briefly explain what is the time zone if you can.,cambodia is gmt plus seven
i am curious about where is angkor wat,angkor wat is in siem reap cambodia
find what is angkor wat today.,it is a famous temple in cambodia
i am curious about what to do in siem reap specifically.,you can visit temples and night market
any idea where where is bayon temple,bayon temple is in the center of angkor thom
give me details on what is ta prohm,it is the jungle temple with giant trees in siem reap
what about how much is angkor pass,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
tell me something about where to watch sunset in siem reap today.,phnom bakheng is the most popular spot for sunset
briefly explain what is pub street please.,it is the nightlife hub of siem reap with bars and food
looking for is tonle sap near siem reap please.,yes it is the largest freshwater lake near siem reap
briefly explain best time to visit temples,early morning at sunrise is the best time
any idea where where is banteay srei right now.,it is a pink sandstone temple 35km from siem reap
looking for what is angkor thom if you can.,it was the last capital city of the khmer empire
teach me about is beng mealea far thank you.,it is about 60km east of siem reap city
tell me can i visit preah khan if you can.,yes preah khan is a large monastic complex in angkor
could you explain what is the terrace of elephants if you can.,it is part of the ancient royal city of angkor thom
tell me how do i get to angkor wat thanks.,"you can take a tuk tuk, car, or bicycle from siem reap city"
tell me is angkor wat open today?,angkor wat is open daily from 5 am to 5:30 pm
tell me something about where is phnom penh for me.,phnom penh is the capital city of cambodia
looking for what to see in phnom penh thank you.,visit the royal palace and the national museum
do you know where is the royal palace,it is located along the riverside in phnom penh
what about what is the silver pagoda if you can.,it is a temple in the royal palace with a silver floor
can you tell me what is s21 prison thanks.,tuol sleng is a former prison museum in phnom penh
tell me something about where is wat phnom,it is a hilltop temple that gives the capital its name
briefly explain best place for shopping in phnom penh immediately.,central market and russian market are the best
can you tell me where is the riverside thank you.,it is the sisowath quay area along the tonle sap river
hey how to get around phnom penh today.,passapp or grab for tuk tuks is the easiest way
hey is phnom penh safe at night thanks.,it is generally safe but watch your belongings
info on where is the independence monument today.,it is at the intersection of norodom and sihanouk boulevards
hey where are the best beaches?,koh rong and koh rong samloem have the best beaches
looking for how to get to koh rong right now.,you can take a speed ferry from sihanoukville
do you know what to do in kampot specifically.,visit pepper farms and take a river cruise
can you explain where is bokor mountain thanks.,it is a cool hill station near kampot city
any idea where is kep famous for food please.,yes kep is famous for fresh blue crab with pepper
can you tell me what is rabbit island specifically.,koh tonsay is a quiet island near kep
looking for where is otres beach for me.,it is a quieter beach area in sihanoukville
could you explain is sihanoukville good for islands specifically.,yes it is the main gateway to koh rong and koh rong samloem
could you explain what is kampot pepper today.,it is world famous high quality pepper from cambodia
tell me where can i see dolphins right now.,you can see freshwater dolphins in kratie
do you know what to do in mondulkiri right now.,visit elephant sanctuaries and busra waterfall
what about is mondulkiri cold right now.,it is much cooler than the rest of cambodia
looking for where is yeak laom lake,it is a volcanic lake in rattanakiri province
tell me something about what to see in kratie,the irrawaddy dolphins and kampi rapids
can you explain where is preah vihear temple please.,it is on a cliff in the north near the thai border
briefly explain is sambor prei kuk old if you can.,yes it is a pre-angkorian site in kampong thom
i want to know what is battambang known for for me.,it is famous for the bamboo train and caves
could you explain where is the killing caves thank you.,they are located on phnom sampeau in battambang
can you tell me can i see bats in battambang?,yes millions of bats fly out of caves at sunset
i am curious about what is phnom chi for me.,it is a mountain for hiking in kampong thom
give me details on where is kapi falls specifically.,it is a scenic spot in mondulkiri
looking for best time to visit cambodia for me.,november to february is the best time
can you tell me what currency is used for me.,the currency is riel and us dollar
can you explain do people speak english if you can.,many people speak basic english in tourist areas
find what food should i try,you should try amok and lok lak
hi is cambodia safe immediately.,it is generally safe for tourists
how to travel in cambodia please.,you can use tuk tuk or taxi
hey do i need a visa immediately.,most tourists need a visa or an e-visa
i am curious about what is the water festival today.,bon om touk is a festival with boat racing
do you know when is khmer new year?,it is usually celebrated in mid-april
give me info on is the water safe to drink,it is better to drink bottled or filtered water
tell me how to say hello in khmer if you can.,you say sarsday or chum reap suor
tell me how to say thank you thanks.,you say orkun in khmer
can you explain is there grab in cambodia today.,yes grab and passapp are widely used
what about what is the local beer,angkor beer and cambodia beer are popular
give me details on is cambodia expensive,it is very affordable for most travelers
find what is the rainy season if you can.,it runs from may to october
briefly explain internet in cambodia,wifi is common and local sim cards are cheap
briefly explain what is the time zone immediately.,cambodia is gmt plus seven
do you know where is angkor wat specifically.,angkor wat is in siem reap cambodia
search for what is angkor wat today.,it is a famous temple in cambodia
teach me about what to do in siem reap thank you.,you can visit temples and night market
what is ta prohm right now.,it is the jungle temple with giant trees in siem reap
hi how much is angkor pass right now.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
find where to watch sunset in siem reap thank you.,phnom bakheng is the most popular spot for sunset
tell me what is pub street?,it is the nightlife hub of siem reap with bars and food
please tell me is tonle sap near siem reap thank you.,yes it is the largest freshwater lake near siem reap
teach me about best time to visit temples please.,early morning at sunrise is the best time
i am curious about where is banteay srei for me.,it is a pink sandstone temple 35km from siem reap
can you tell me what is angkor thom today.,it was the last capital city of the khmer empire
info on where is koh ker thanks.,it is a pyramid temple north of siem reap
hey is beng mealea far please.,it is about 60km east of siem reap city
tell me something about can i visit preah khan specifically.,yes preah khan is a large monastic complex in angkor
briefly explain what is the terrace of elephants thank you.,it is part of the ancient royal city of angkor thom
please tell me how do i get to angkor wat thank you.,"you can take a tuk tuk, car, or bicycle from siem reap city"
info on is angkor wat open today specifically.,angkor wat is open daily from 5 am to 5:30 pm
give me details on where is phnom penh today.,phnom penh is the capital city of cambodia
give me info on what to see in phnom penh if you can.,visit the royal palace and the national museum
hey where is the royal palace today.,it is located along the riverside in phnom penh
can you tell me what is the silver pagoda specifically.,it is a temple in the royal palace with a silver floor
can you explain what is s21 prison thank you.,tuol sleng is a former prison museum in phnom penh
info on where is wat phnom?,it is a hilltop temple that gives the capital its name
search for best place for shopping in phnom penh if you can.,central market and russian market are the best
hi where is the riverside please.,it is the sisowath quay area along the tonle sap river
how to get around phnom penh please.,passapp or grab for tuk tuks is the easiest way
can you explain is phnom penh safe at night right now.,it is generally safe but watch your belongings
looking for where is the independence monument today.,it is at the intersection of norodom and sihanouk boulevards
any idea where where are the best beaches for me.,koh rong and koh rong samloem have the best beaches
what about how to get to koh rong thank you.,you can take a speed ferry from sihanoukville
what about what to do in kampot thank you.,visit pepper farms and take a river cruise
any idea where is kep famous for food,yes kep is famous for fresh blue crab with pepper
looking for what is rabbit island for me.,koh tonsay is a quiet island near kep
is sihanoukville good for islands right now.,yes it is the main gateway to koh rong and koh rong samloem
tell me what is kampot pepper for me.,it is world famous high quality pepper from cambodia
teach me about can i swim in sihanoukville for me.,"yes, victory beach and sokha beach are popular spots"
briefly explain where can i see dolphins specifically.,you can see freshwater dolphins in kratie
tell me what to do in mondulkiri please.,visit elephant sanctuaries and busra waterfall
is mondulkiri cold thank you.,it is much cooler than the rest of cambodia
can you explain where is yeak laom lake,it is a volcanic lake in rattanakiri province
find what to see in kratie immediately.,the irrawaddy dolphins and kampi rapids
